	Unnamed: 0	Temperature (K)	Luminosity(L/Lo)	Radius(R/Ro)	Absolute magnitude(Mv)	Star type	Star color
219	219	8250	9.250000	1.93000	-0.980	3	yellow-white
220	220	23678	244290.000000	35.00000	-6.270	4	Blue
221	221	12749	332520.000000	76.00000	-7.020	4	Blue
222	222	9383	342940.000000	98.00000	-6.980	4	Blue
223	223	23440	537430.000000	81.00000	-5.975	4	Blue
224	224	16787	246730.000000	62.00000	-6.350	4	Blue
225	225	18734	224780.000000	46.00000	-7.450	4	Blue
226	226	9892	593900.000000	80.00000	-7.262	4	Blue
227	227	10930	783930.000000	25.00000	-6.224	4	Blue
228	228	23095	347820.000000	86.00000	-5.905	4	Blue
229	229	21738	748890.000000	92.00000	-7.346	4	Blue
230	230	24145	382993.000000	1494.00000	-8.840	5	Blue-white
231	231	38234	272830.000000	1356.00000	-9.290	5	Blue
232	232	32489	648430.000000	1948.50000	-10.840	5	Blue
233	233	27739	849420.000000	1252.00000	-7.590	5	Blue-white
234	234	21904	748490.000000	1130.00000	-7.670	5	Blue-white
235	235	38940	374830.000000	1356.00000	-9.930	5	Blue
236	236	30839	834042.000000	1194.00000	-10.630	5	Blue
237	237	8829	537493.000000	1423.00000	-10.730	5	White
238	238	9235	404940.000000	1112.00000	-11.230	5	White
239	239	37882	294903.000000	1783.00000	-7.800	5	Blue
